faculty,application,lowest_score,highest_score
دیپارتمنت استخراج معادن (ذکور) پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل ,60,225.9867,295.3725
دیپارتمنت انجنیری شاهراه و ترانسپورتیشن (ذکور) پوهنځی ساختمان های ترانسپورتی پوهنتون پولی تخنیک کابل ,60,243.9838,295.2141
دیپارتمنت جیودیزی انجنیری (ذکور) پوهنځی جیوماتیک و کدستر پوهنتون پولی تخنیک کابل ,60,229.0337,291.5929
دیپارتمنت انجنیری معادن نفت (ذکور) پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل ,60,208.8883,290.9791
دیپارتمنت انجنیری آبرسانی و محیط زیست (ذکور) پوهنځی انجنیری منابع آب و محیط زیست پوهنتون پولی تخنیک کابل ,60,236.4884,286.1963
دیپارتمنت انجنیری مواد غذایی (ذکور) پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل ,60,187.6693,278.3214
دیپارتمنت انجنیری مواد غیرعضوی (ذکور) پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل ,60,199.8419,265.7979
دیپارتمنت انجنیری صنایع کیمیاوی نفت و گاز (ذکور) پوهنځی انجنیری صنایع کیمیاوی پوهنتون پولی تخنیک کابل ,60,188.6714,265.1588
دیپارتمنت جیولوجی انجنیری و هایدروجیولوجی (ذکور) پوهنځی جیولوجی و معادن پوهنتون پولی تخنیک کابل ,60,184.9633,256.0981
دیپارتمنت عمومی (ذکور) پوهنځی طب پوهنتون ننگرهار ,60,327.6025,344.8197
دیپارتمنت انجنیری نرم افزار (ذکور) پوهنځی کمپیوتر ساینس پوهنتون ننگرهار ,60,288.0256,328.3593
دیپارتمنت منجمنت و ادارۀ تشبثات (BBA) (ذکور) پوهنځی اقتصاد پوهنتون ننگرهار ,60,272.1614,327.2846
دیپارتمنت سیول (ذکور) پوهنځی انجنیری پوهنتون ننگرهار ,60,297.16,322.6602
دیپارتمنت رادیو و تلویزیون (ذکور) پوهنځی ژورنالیزم پوهنتون ننگرهار ,60,206.9578,317.5122
دیپارتمنت امورمالی و بانکی (ذکور) پوهنځی اقتصاد پوهنتون ننگرهار ,60,233.2643,313.3927
دیپارتمنت سیستم های معلوماتی (ذکور) پوهنځی کمپیوتر ساینس پوهنتون ننگرهار ,60,279.1871,312.087
دیپارتمنت اقتصاد ملی (ذکور) پوهنځی اقتصاد پوهنتون ننگرهار ,60,228.7356,311.6041
دیپارتمنت نیت ورکینگ (ذکور) پوهنځی کمپیوتر ساینس پوهنتون ننگرهار ,60,241.1249,306.5243
دیپارتمنت کمیونیکیشن (ذکور) پوهنځی کمپیوتر ساینس پوهنتون ننگرهار ,60,190.6855,294.9391
دیپارتمنت زبان و ادبیات انگلیسی (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,211.9969,294.0228
دیپارتمنت سوداگری (ذکور) پوهنځی اقتصاد پوهنتون ننگرهار ,60,213.8328,291.2519
دیپارتمنت قضا و څارنوالی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار ,60,213.8119,285.9917
دیپارتمنت ادارۀ عامه (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار ,60,219.3548,285.3031
دیپارتمنت انجنیری منابع آب و حفاظت محیط زیست (ذکور) پوهنځی انجنیری پوهنتون ننگرهار ,60,222.8506,280.1958
دیپارتمنت اداره و دیپلوماسی (ذکور) پوهنځی حقوق و علوم سیاسی پوهنتون ننگرهار ,60,227.6829,275.9157
دیپارتمنت ریاضی (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,173.6575,274.0171
دیپارتمنت عمومی (ذکور) پوهنځی علوم وترنری پوهنتون ننگرهار ,60,193.7798,271.3628
دیپارتمنت مدیریت انکشاف (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار ,60,195.0789,264.2194
دیپارتمنت فقه و قانون (ذکور) پوهنځی شرعیات پوهنتون ننگرهار ,60,207.5782,263.9884
دیپارتمنت اقتصاد و توسعۀ زراعتی (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,182.7215,256.5722
دیپارتمنت ثقافت اسلامی (ذکور) پوهنځی شرعیات پوهنتون ننگرهار ,60,187.9399,250.8181
دیپارتمنت پالیسی عامه (ذکور) پوهنځی اداره و پالیسی عامه پوهنتون ننگرهار ,60,198.8827,249.6147
دیپارتمنت فزیک (ذکور) پوهنځی ساینس پوهنتون ننگرهار ,60,168.7405,248.2408
دیپارتمنت هارتیکلچر (باغداری) (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,172.0317,247.7986
دیپارتمنت اگرانومی (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,170.4059,244.5305
دیپارتمنت ریاضی (ذکور) پوهنځی ساینس پوهنتون ننگرهار ,60,173.1075,243.5053
دیپارتمنت کیمیا (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,156.3545,243.1082
دیپارتمنت حفاظۀ نباتات (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,177.7088,240.6343
دیپارتمنت تعلیمات اسلامی (ذکور) پوهنځی شرعیات پوهنتون ننگرهار ,60,202.1332,238.992
دیپارتمنت زبان و ادبیات فارسی دری (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,162.7851,236.044
دیپارتمنت روانشناسی (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,179.7471,235.8724
دیپارتمنت جیولوجی و معدن (ذکور) پوهنځی ساینس پوهنتون ننگرهار ,60,189.2203,233.4524
دیپارتمنت مدیریت تجارت زراعتی (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,175.3273,233.4502
دیپارتمنت زبان و ادبیات پشتو (ذکور) پوهنځی زبان و ادبیات پوهنتون ننگرهار ,60,188.469,233.3116
دیپارتمنت ارتباطات عامه (ذکور) پوهنځی ژورنالیزم پوهنتون ننگرهار ,60,189.5415,229.895
دیپارتمنت اگری بزنس (ذکور) پوهنځی زراعت پوهنتون ننگرهار ,60,172.948,229.0326
دیپارتمنت بیولوژی (ذکور) پوهنځی ساینس پوهنتون ننگرهار ,60,187.9663,228.4144
دیپارتمنت فزیک (ذکور) پوهنځی تعلیم و تربیه پوهنتون ننگرهار ,60,176.4768,227.7962
