faculty,application,lowest_score,highest_score
دیپارتمنت مدیریت آموزشی پوهنځی روانشناسی وعلوم تربیتی پوهنتون کابل,42,203.1615,266.1855
دیپارتمنت دعوت پوهنځی شرعیات پوهنتون کابل (مدارس),42,164.4173,265.8804
دیپارتمنت علوم حیوانی پوهنځی زراعت پوهنتون کابل,42,181.044,260.5958
انستیتیوت تکنالوژی کمپیوتر شهر کابل,42,199.7797,259.5256
دیپارتمنت زبان و ادبیات اوزبیکی پوهنځی زبان و ادبیات ملی پوهنتون کابل,42,154.7963,258.9416
دیپارتمنت دعوت پوهنځی شرعیات پوهنتون کابل,42,197.183,257.7192
دیپارتمنت جغرافیه پوهنځی زمین شناسی پوهنتون کابل,42,179.3922,257.5787
دیپارتمنت پلان و پالیسی  پوهنځی روانشناسی وعلوم تربیتی پوهنتون کابل,42,191.5026,257.027
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون کابل,42,185.9522,256.7733
دیپارتمنت زبان و ادبیات ترکی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,198.2611,256.261
دیپارتمنت هنرهای تزئینی پوهنځی هنرهای زیبا پوهنتون کابل,42,150.8107,255.3757
دیپارتمنت کار و امور اجتماعی پوهنځی روانشناسی وعلوم تربیتی پوهنتون کابل,42,196.1588,255.1984
دیپارتمنت تفسیر و حدیث پوهنځی علوم اسلامی پوهنتون تعلیم و تربیه کابل (مدارس),42,173.5128,254.8036
دیپارتمنت حفاظۀ نباتات پوهنځی زراعت پوهنتون کابل,42,177.1907,254.4092
دیپارتمنت زبان و ادبیات روسی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,184.0293,254.0751
دیپارتمنت عمومی پوهنځی بیولوژی پوهنتون کابل,42,199.1975,253.9912
دیپارتمنت روانشناسی تعلیم وتربیه ناشنوایان پوهنځی تعلیمات اختصاصی پوهنتون تعلیم و تربیه کابل,42,150.9877,253.7133
انستیتیوت تکنالوژی افغان شهر کابل,42,170.7054,253.2499
انستیتیوت کیثرالرشتوی ناحیه ۱۳ ولایت کابل,42,162.9223,252.7773
دیپارتمنت  منابع طبیعی پوهنځی محیط زیست پوهنتون کابل,42,202.8309,251.1467
دیپارتمنت ریاضی پوهنځی علوم طبیعی پوهنتون تعلیم و تربیه کابل,42,206.0345,250.2021
دیپارتمنت مشاوره  پوهنځی روانشناسی وعلوم تربیتی پوهنتون کابل,42,212.4048,250.0934
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات ملی پوهنتون کابل,42,190.0046,248.6837
دیپارتمنت بایوتکنالوژی وتولیدتخم های بذری پوهنځی زراعت پوهنتون کابل,42,180.9008,246.6796
دیپارتمنت زبان و ادبیات هسپانوی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,184.6883,246.589
انستیتیوت ساختمانی و جیودیزی شهر کابل,42,141.2443,246.0195
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات خارجی پوهنتون کابل (مدارس),42,182.2419,245.7321
دیپارتمنت فزیک پوهنځی علوم طبیعی پوهنتون تعلیم و تربیه کابل,42,171.8836,245.5331
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل,42,173.4567,244.9833
دیپارتمنت تفسیر و حدیث پوهنځی علوم اسلامی پوهنتون تعلیم و تربیه کابل,42,188.7812,243.9916
دیپارتمنت بشرشناسی و باستانشناسی پوهنځی علوم اجتماعی پوهنتون کابل,42,177.069,243.9346
دیپارتمنت کیمیا پوهنځی علوم طبیعی پوهنتون تعلیم و تربیه کابل,42,173.4252,243.7408
دیپارتمنت تعلیم وتربیه عمومی پوهنځی علوم تربیتی ومسلکی پوهنتون تعلیم و تربیه کابل,42,166.9292,242.9157
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون کابل,42,181.8148,242.8826
دیپارتمنت مشاوره  پوهنځی روانشناسی پوهنتون تعلیم و تربیه کابل,42,194.7839,242.0768
انستیتیوت اداره و حسابداری ولایت کابل,42,172.654,241.3741
انستیتیوت مسلکی تجارت شهر کابل,42,166.1588,240.8341
دیپارتمنت پیداگوژی پوهنځی روانشناسی وعلوم تربیتی پوهنتون کابل,42,172.6432,239.315
انستیتیوت مسلکی زراعت ولسوالی پغمان ولایت کابل,42,148.7398,239.283
دیپارتمنت زبان و ادبیات ترکی پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل,42,172.8626,238.7645
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات خارجی پوهنتون کابل,42,188.5418,237.2973
دیپارتمنت تاریخ عمومی پوهنځی علوم اجتماعی پوهنتون کابل,42,171.1679,234.6475
دیپارتمنت بیولوژی پوهنځی علوم طبیعی پوهنتون تعلیم و تربیه کابل,42,178.8194,233.8429
انستیتیوت انرژی و آب شهر کابل,42,155.3025,233.2623
انستیتیوت اکادمی اتومیخانیکی شهر کابل,42,154.104,233.0845
دیپارتمنت زبان و ادبیات فارسی دری پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل,42,181.6601,232.9974
دیپارتمنت نقاشی پوهنځی هنرهای زیبا پوهنتون کابل,42,173.5348,231.5875
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل,43,172.259,228.8876
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون تعلیم و تربیه کابل (مدارس),43,169.9783,227.5336
دیپارتمنت سینما پوهنځی هنرهای زیبا پوهنتون کابل,43,159.0688,227.4796
انستیتیوت کثیرالرشتوی ولسوالی قره باغ ولایت کابل,43,140.0107,227.2265
دیپارتمنت جغرافیه پوهنځی علوم اجتماعی پوهنتون تعلیم و تربیه کابل,43,150.3917,226.1824
